CIK,cusip,ACCESSION_NUMBER,companyName,value,shares,cusip6,reportCalendarOrQuarter,managerName,managerAddress
1326801,30303M102,0001894164-23-000006,FACEBOOK INC CL A,1480613,4402,30303M,31-DEC-2021,"Burns Matteson Capital Management, LLC","42 EAST MARKET STREET, CORNING, NY, 14830"
1326801,30303M102,0001894164-23-000002,FACEBOOK INC CL A,569265,2084,30303M,31-DEC-2020,"Burns Matteson Capital Management, LLC","42 EAST MARKET STREET, CORNING, NY, 14830"
1326801,30303M102,0001894164-23-000004,FACEBOOK INC CL A,720803,2073,30303M,30-JUN-2021,"Burns Matteson Capital Management, LLC","42 EAST MARKET STREET, CORNING, NY, 14830"
1326801,30303M102,0001894164-23-000007,FACEBOOK INC CL A,1028860,4627,30303M,31-MAR-2022,"Burns Matteson Capital Management, LLC","42 EAST MARKET STREET, CORNING, NY, 14830"
1326801,30303M102,0001894164-23-000003,FACEBOOK INC CL A,593772,2016,30303M,31-MAR-2021,"Burns Matteson Capital Management, LLC","42 EAST MARKET STREET, CORNING, NY, 14830"
1326801,30303M102,0001894164-23-000008,FACEBOOK INC CL A,973305,6036,30303M,30-JUN-2022,"Burns Matteson Capital Management, LLC","42 EAST MARKET STREET, CORNING, NY, 14830"
1326801,30303M102,0001894164-23-000009,FACEBOOK INC CL A,694953,5122,30303M,30-SEP-2022,"Burns Matteson Capital Management, LLC","42 EAST MARKET STREET, CORNING, NY, 14830"
1326801,30303M102,0001894164-23-000005,FACEBOOK INC CL A,1311064,3863,30303M,30-SEP-2021,"Burns Matteson Capital Management, LLC","42 EAST MARKET STREET, CORNING, NY, 14830"
1326801,30303M102,0001095449-23-000096,META PLATFORMS INC,4248404,14804,30303M,30-JUN-2023,"RB Capital Management, LLC","5365 RENO CORPORATE DRIVE, SUITE 200, RENO, NV, 89511"
1326801,30303M102,0001372130-23-000004,META PLATFORMS INC CL A,425253,1386,30303M,30-SEP-2023,"HEADINVEST, LLC","7 CUSTOM HOUSE STREET, 4TH FLOOR, PORTLAND, ME, 04101"
1326801,30303M102,0000877134-23-000016,META PLATFORMS INC,10879614,36240,30303M,30-SEP-2023,WESBANCO BANK INC,"1 BANK PLZ, WHEELING, WV, 26003"
1326801,30303M102,0000877134-23-000016,META PLATFORMS INC,164215,547,30303M,30-SEP-2023,WESBANCO BANK INC,"1 BANK PLZ, WHEELING, WV, 26003"
1326801,30303M102,0000877134-23-000016,META PLATFORMS INC,9843285,32788,30303M,30-SEP-2023,WESBANCO BANK INC,"1 BANK PLZ, WHEELING, WV, 26003"
1326801,30303M102,0001062993-23-022252,META PLATFORMS INC CL A,3308614,11021,30303M,30-SEP-2023,"Sunbelt Securities, Inc.","2700 POST OAK BLVD, SUITE 1700, HOUSTON, TX, 77056"
1326801,30303M102,0001911726-23-000006,META PLATFORMS INC,270734,902,30303M,30-SEP-2023,Raleigh Capital Management Inc.,"1400 CRESCENT GREEN DRIVE, SUITE 100, CARY, NC, 27518"
1326801,30303M102,0001539338-23-000009,META PLATFORMS INC,283112,943,30303M,30-SEP-2023,Financial Advisory Group,"5599 SAN FELIPE, SUITE 900, HOUSTON, TX, 77056"
1326801,30303M102,0001767343-23-000003,META PLATFORMS INC,1625048,52847,30303M,30-SEP-2023,"DAGCO, INC.","27366 CENTER RIDGE ROAD, WESTLAKE, OH, 44145"
1326801,30303M102,0001393825-23-000231,META PLATFORMS INC,229660650,765000,30303M,30-SEP-2023,Hudson Bay Capital Management LP,"28 Havemeyer Place, 2nd Floor, Greenwich, CT, 06830"
1326801,30303M102,0001393825-23-000231,META PLATFORMS INC,466432074,1553686,30303M,30-SEP-2023,Hudson Bay Capital Management LP,"28 Havemeyer Place, 2nd Floor, Greenwich, CT, 06830"
1326801,30303M102,0001085146-23-004565,META PLATFORMS INC,718532,2385,30303M,30-SEP-2023,"Financial Insights, Inc.","3110 RUSTON WAY, SUITE C, TACOMA, WA, 98402"
1326801,30303M102,0001750924-23-000005,META PLATFORMS INC,685959,2285,30303M,30-SEP-2023,"VisionPoint Advisory Group, LLC","17250 DALLAS PARKWAY, DALLAS, TX, 75248"
1326801,30303M102,0001613331-23-000005,META PLATFORMS INC,524767,1748,30303M,30-SEP-2023,Fragasso Group Inc.,"610 SMITHFIELD STREET, SUITE 400, PITTSBURGH, PA, 15222"
1326801,30303M102,0001911726-23-000005,META PLATFORMS INC,270734,902,30303M,30-SEP-2023,Raleigh Capital Management Inc.,"1400 CRESCENT GREEN DRIVE, SUITE 100, CARY, NC, 27518"
